FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,15/01/2022 04:21,33.93911,67.709953,158639,7376,,,Afghanistan,407.5154397,4.649550237
,,,Albania,15/01/2022 04:21,41.1533,20.1683,228777,3262,,,Albania,7949.718535,1.425842633
,,,Algeria,15/01/2022 04:21,28.0339,1.6596,224979,6393,,,Algeria,513.052791,2.841598549
,,,Andorra,15/01/2022 04:21,42.5063,1.5218,29888,142,,,Andorra,38682.45648,0.475107066
,,,Angola,15/01/2022 04:21,-11.2027,17.8739,93302,1852,,,Angola,283.883768,1.984952091
,,,Antigua and Barbuda,15/01/2022 04:21,17.0608,-61.7964,5246,120,,,Antigua and Barbuda,5356.996977,2.28745711
,,,Argentina,15/01/2022 04:21,-38.4161,-63.6167,6932972,117901,,,Argentina,15339.86682,1.700583819
,,,Armenia,15/01/2022 04:21,40.0691,45.0382,347084,8015,,,Armenia,11713.01355,2.309239262
,,Australian Capital Territory,Australia,15/01/2022 04:21,-35.4735,149.0124,21174,16,,,"Australian Capital Territory, Australia",4946.040645,0.075564371
,,New South Wales,Australia,15/01/2022 04:21,-33.8688,151.2093,738891,846,,,"New South Wales, Australia",9101.884701,0.114495913
,,Northern Territory,Australia,15/01/2022 04:21,-12.4634,130.8456,5290,1,,,"Northern Territory, Australia",2153.908795,0.018903592
,,Queensland,Australia,15/01/2022 04:21,-27.4698,153.0251,177454,20,,,"Queensland, Australia",3735.118757,0.011270526
,,South Australia,Australia,15/01/2022 04:21,-34.9285,138.6007,62511,36,,,"South Australia, Australia",3806.433248,0.057589864
,,Tasmania,Australia,15/01/2022 04:21,-42.8821,147.3272,17098,13,,,"Tasmania, Australia",3192.903828,0.076032284
,,Victoria,Australia,15/01/2022 04:21,-37.8136,144.9631,589546,1680,,,"Victoria, Australia",8892.230652,0.284965041
,,Western Australia,Australia,15/01/2022 04:21,-31.9505,115.8605,1285,9,,,"Western Australia, Australia",48.84817152,0.700389105
,,,Austria,15/01/2022 04:21,47.5162,14.5501,1411421,13905,,,Austria,15671.31151,0.98517735
,,,Azerbaijan,15/01/2022 04:21,40.1431,47.5769,624208,8497,,,Azerbaijan,6156.398326,1.36124497
,,,Bahamas,15/01/2022 04:21,25.025885,-78.035889,29908,719,,,Bahamas,7605.378794,2.404039053
,,,Bahrain,15/01/2022 04:21,26.0275,50.55,302872,1397,,,Bahrain,17799.42559,0.461250958
,,,Bangladesh,15/01/2022 04:21,23.685,90.3563,1609042,28129,,,Bangladesh,977.0162294,1.74818308
,,,Barbados,15/01/2022 04:21,13.1939,-59.5432,34425,269,,,Barbados,11979.2881,0.78140886
,,,Belarus,15/01/2022 04:21,53.7098,27.9534,713002,5792,,,Belarus,7545.53687,0.812339937
,,Antwerp,Belgium,15/01/2022 04:21,51.2195,4.4024,347368,0,,,"Antwerp, Belgium",18695.94281,0
,,Brussels,Belgium,15/01/2022 04:21,50.8503,4.3517,298580,0,,,"Brussels, Belgium",24705.80253,0
,,East Flanders,Belgium,15/01/2022 04:21,51.0362,3.7373,300504,0,,,"East Flanders, Belgium",19834.40964,0
,,Flemish Brabant,Belgium,15/01/2022 04:21,50.9167,4.5833,218569,0,,,"Flemish Brabant, Belgium",19069.42657,0
,,Hainaut,Belgium,15/01/2022 04:21,50.5257,4.0621,284444,0,,,"Hainaut, Belgium",21160.19375,0
,,Liege,Belgium,15/01/2022 04:21,50.4496,5.8492,251877,0,,,"Liege, Belgium",22753.28096,0
,,Limburg,Belgium,15/01/2022 04:21,50.9739,5.342,158895,0,,,"Limburg, Belgium",18179.20755,0
,,Luxembourg,Belgium,15/01/2022 04:21,50.0547,5.4677,62002,0,,,"Luxembourg, Belgium",21782.75564,0
,,Namur,Belgium,15/01/2022 04:21,50.331,4.8221,110746,0,,,"Namur, Belgium",22403.47949,0
,,Unknown,Belgium,15/01/2022 04:21,,,39937,28612,,,"Unknown, Belgium",,71.64283747
,,Walloon Brabant,Belgium,15/01/2022 04:21,50.4,4.35,93638,0,,,"Walloon Brabant, Belgium",23200.75124,0
,,West Flanders,Belgium,15/01/2022 04:21,51.0536,3.1458,244171,0,,,"West Flanders, Belgium",20419.11831,0
,,,Belize,15/01/2022 04:21,17.1899,-88.4976,40612,608,,,Belize,10213.74626,1.497094455
,,,Benin,15/01/2022 04:21,9.3077,2.3158,26036,162,,,Benin,214.7618145,0.622215394
,,,Bhutan,15/01/2022 04:21,27.5142,90.4336,2886,3,,,Bhutan,374.0221769,0.103950104
,,,Bolivia,15/01/2022 04:21,-16.2902,-63.5887,725459,20149,,,Bolivia,6214.830786,2.777414023
,,,Bosnia and Herzegovina,15/01/2022 04:21,43.9159,17.6791,313185,13741,,,Bosnia and Herzegovina,9545.951235,4.387502594
,,,Botswana,15/01/2022 04:21,-22.3285,24.6849,237678,2514,,,Botswana,10106.96859,1.057733572
,,Acre,Brazil,15/01/2022 04:21,-9.0238,-70.812,89529,1854,,,"Acre, Brazil",10151.42839,2.070837382
,,Alagoas,Brazil,15/01/2022 04:21,-9.5713,-36.782,244908,6391,,,"Alagoas, Brazil",7338.381839,2.609551342
,,Amapa,Brazil,15/01/2022 04:21,0.902,-52.003,128571,2030,,,"Amapa, Brazil",15202.35158,1.578894152
,,Amazonas,Brazil,15/01/2022 04:21,-3.4168,-65.8561,444042,13856,,,"Amazonas, Brazil",10713.75576,3.120425545
,,Bahia,Brazil,15/01/2022 04:21,-12.5797,-41.7007,1286166,27650,,,"Bahia, Brazil",8647.619616,2.149800259
,,Ceara,Brazil,15/01/2022 04:21,-5.4984,-39.3206,966987,24867,,,"Ceara, Brazil",10588.9043,2.571596102
,,Distrito Federal,Brazil,15/01/2022 04:21,-15.7998,-47.8645,541252,11126,,,"Distrito Federal, Brazil",17950.37788,2.055604413
,,Espirito Santo,Brazil,15/01/2022 04:21,-19.1834,-40.3089,658297,13371,,,"Espirito Santo, Brazil",16381.04836,2.031150074
,,Goias,Brazil,15/01/2022 04:21,-15.827,-49.8362,968839,24754,,,"Goias, Brazil",13804.36211,2.555016881
,,Maranhao,Brazil,15/01/2022 04:21,-4.9609,-45.2744,374012,10411,,,"Maranhao, Brazil",5286.253454,2.783600526
,,Mato Grosso,Brazil,15/01/2022 04:21,-12.6819,-56.9211,575014,14122,,,"Mato Grosso, Brazil",16502.21296,2.455940203
,,Mato Grosso do Sul,Brazil,15/01/2022 04:21,-20.7722,-54.7852,390734,9753,,,"Mato Grosso do Sul, Brazil",14060.30833,2.496071496
,,Minas Gerais,Brazil,15/01/2022 04:21,-18.5122,-44.555,2330228,56791,,,"Minas Gerais, Brazil",11007.84641,2.43714349
,,Para,Brazil,15/01/2022 04:21,-1.9981,-54.9306,632989,17233,,,"Para, Brazil",7357.886007,2.722480169
,,Paraiba,Brazil,15/01/2022 04:21,-7.24,-36.782,467443,9614,,,"Paraiba, Brazil",11633.35554,2.056721354
